Sinan elmss
2020-01-04 13:33:08,078: 's'
2020-01-04 13:33:08,598: 'i'
2020-01-04 13:33:08,952: 'n'
2020-01-04 13:33:09,318: 'a'
2020-01-04 13:33:09,543: 'n'
2020-01-04 13:33:10,453: Key.enter
2020-01-04 13:34:15,425: Key.enter
2020-01-04 13:34:17,584: Key.ctrl_l
2020-01-04 13:34:17,584: Key.alt_r
2020-01-04 13:34:18,091: Key.ctrl_l
2020-01-04 13:34:18,094: Key.alt_r
2020-01-04 13:34:18,134: Key.ctrl_l
2020-01-04 13:34:18,134: Key.alt_r
2020-01-04 13:34:18,175: Key.ctrl_l
2020-01-04 13:34:18,175: Key.alt_r
2020-01-04 13:34:18,215: Key.ctrl_l
2020-01-04 13:34:18,215: Key.alt_r
2020-01-04 13:34:18,257: Key.ctrl_l
2020-01-04 13:34:18,257: Key.alt_r
2020-01-04 13:34:18,297: Key.ctrl_l
2020-01-04 13:34:18,297: Key.alt_r
2020-01-04 13:34:18,337: Key.ctrl_l
2020-01-04 13:34:18,337: Key.alt_r
2020-01-04 13:34:18,377: Key.ctrl_l
2020-01-04 13:34:18,377: Key.alt_r
2020-01-04 13:34:18,393: '#'
2020-01-04 13:34:19,481: 'k'
2020-01-04 13:34:20,569: 'u'
2020-01-04 13:34:20,848: 'l'
2020-01-04 13:34:21,069: 'l'
2020-01-04 13:34:23,719: 'ö'
2020-01-04 13:34:24,520: Key.backspace
2020-01-04 13:34:24,874: 'a'
2020-01-04 13:34:25,272: 'n'
2020-01-04 13:34:25,497: 'ý'
2020-01-04 13:34:25,940: 'c'
2020-01-04 13:34:26,239: 'ý'
2020-01-04 13:34:26,461: 'n'
2020-01-04 13:34:26,652: 'ý'
2020-01-04 13:34:26,796: 'n'
2020-01-04 13:34:27,007: Key.space
2020-01-04 13:34:34,094: 'k'
2020-01-04 13:34:34,702: 'l'
2020-01-04 13:34:35,027: 'a'
2020-01-04 13:34:35,990: 'v'
2020-01-04 13:34:36,826: 'y'
2020-01-04 13:34:37,110: 'e'
2020-01-04 13:34:37,819: 'd'
2020-01-04 13:34:38,070: 'e'
2020-01-04 13:34:38,249: Key.space
2020-01-04 13:34:39,312: 'b'
2020-01-04 13:34:39,778: 'a'
2020-01-04 13:34:40,319: 's'
2020-01-04 13:34:40,720: 't'
2020-01-04 13:34:41,168: 'ý'
2020-01-04 13:34:43,757: 'ð'
2020-01-04 13:34:44,114: 'ý'
2020-01-04 13:34:44,380: Key.space
2020-01-04 13:34:44,950: 'd'
2020-01-04 13:34:45,240: 'e'
2020-01-04 13:34:45,730: 'ð'
2020-01-04 13:34:45,962: 'e'
2020-01-04 13:34:46,338: 'r'
2020-01-04 13:34:46,928: 'l'
2020-01-04 13:34:47,139: 'e'
2020-01-04 13:34:47,697: 'r'
2020-01-04 13:34:48,113: 'i'
2020-01-04 13:34:48,430: Key.space
2020-01-04 13:34:54,923: Key.ctrl_l
2020-01-04 13:34:55,345: '\x03'
2020-01-04 13:34:56,667: Key.ctrl_l
2020-01-04 13:34:56,961: '\x16'
2020-01-04 13:34:57,927: Key.space
2020-01-04 13:35:01,456: 'd'
2020-01-04 13:35:01,715: 'o'
2020-01-04 13:35:02,603: 's'
2020-01-04 13:35:03,678: 'y'
2020-01-04 13:35:03,983: 'a'
2020-01-04 13:35:04,508: 's'
2020-01-04 13:35:04,782: 'ý'
2020-01-04 13:35:05,058: 'n'
2020-01-04 13:35:05,359: 'a'
2020-01-04 13:35:05,645: Key.space
2020-01-04 13:35:06,403: 'k'
2020-01-04 13:35:06,831: 'a'
2020-01-04 13:35:07,562: 'y'
2020-01-04 13:35:08,392: 'd'
2020-01-04 13:35:08,649: 'e'
2020-01-04 13:35:08,931: 'd'
2020-01-04 13:35:09,378: 'i'
2020-01-04 13:35:09,904: 'y'
2020-01-04 13:35:10,820: 'o'
2020-01-04 13:35:11,095: 'r'
2020-01-04 13:35:12,320: '.'
2020-01-04 13:35:49,306: Key.delete
